Title,Lyrics,Embedding,Q1,Q2,Q3,Q4,Quartile
You’ll Cowards Don’t Even Smoke Crack,"You’ll Cowards Don’t Even Smoke Crack Lyrics[Intro]
Haha
Here's a little something for you bustas
Yeah

[Chorus]
What's up with that?
You'll cowards don't even smoke crack
What's up with that?
You'll cowards don't even smoke crack

[Verse 1]
Hater, you don't even smoke crack
Bitch, you's a mark fool
Motherfuck that ho shit, pass a G that stem
I'm about to blaze up, 'specially when it's after dim
I changed the game, don't get it misunderstood
Hitting it out the glass and that smoke all good
Can't water it with green, get work, got that stick
Stars know I keep it, they on my dick, these niggas sick
But when I do smoke some green
I'm straight out that rose, you best believe
But green ain't better than that hard, hard is so much fun
Seven for forty-five, wholesale gets it done
And I don't care if you judge me
I'm smoking cooked, and living so lovely
So stop looking like you're dumb
You know you wanna try, but scared to get some
You might also like[Chorus]
What's up with that?
You'll cowards don't even smoke crack
What's up with that?
You'll cowards don't even smoke crack
What's up with that?
You'll cowards don't even smoke crack
What's up with that?
You'll cowards don't even smoke crack

[Verse 2]
It's on and poppin'
I'm blazing white, now my destiny ain't stopping
I'm coming up in a song to rap
I sold my soul to Satan, but bought it back from God with this song
Y'all bustas ain't ballin'
Until you smoke some work and see who really paper callin'
Y'all fallin' off like the last century
No respect from me 'til you get that cheese
And you see what life is all about
'Til then, you's a judgmental bitch with a raised snout
I gets my clout from the mainstream
It's always lovey dovey in my dope scene
I'm clownin', and keepin' it rock
My coke chopped and screwed, 'cause I ball on the block
I'm stangin' big and bringin' work
All the while keepin' y'all haters feelin's hurt
[Chorus]
What's up with that?
You'll cowards don't even smoke crack
What's up with that?
You'll cowards don't even smoke crack
What's up with that?
You'll cowards don't even smoke crack
What's up with that?
You'll cowards don't even smoke crack32Embed","[-0.02860228  0.03041139  0.03433824 ... -0.00023922  0.0082754
 -0.0066631 ]",0.7180144,0.7829797,0.6870656,0.5745472,Q2
You Wanna See Me Dead Cause Of My Hops,"You Wanna See Me Dead Cause Of My Hops Lyrics[Chorus]
My hops
They wanna see me gone 'cause of my hops
Shot in the dome 'cause of my hops
And ballin' no more 'cause of my hops
My hops
They wanna see me sprayed 'cause of my hops
And sleepin' in a grave 'cause of my hops
And not getting paid 'cause of my hops

[Verse 1]
Ballers know the deal when they see me in the place
Follow up, two-hand dunk, nuts in ya face
See, you was under the goal
Where the big boys play, so now you know
I'm 6'2"" with crazy hops
From that two-hand in my video, I'm still gettin' props
Light feet, I wear a size ten
That's why I'm gettin' up time and time again
Boys look like they wanna squab when they see me snowbird
'Cause they know they gonna get a two-hand-reverse
Or I might just do a self alley
And hang on the rim 'til your posse wanna blast me
Yeah, that's how I do
On this hoop court, I'm a fool
And I'm still getting up
To get the whole place crunk
You might also like[Chorus]
My hops
They wanna see me gone 'cause of my hops
Shot in the dome 'cause of my hops
And ballin' no more 'cause of my hops
My hops
They wanna see me sprayed 'cause of my hops
And sleeping in a grave 'cause of my hops
And not getting paid 'cause of my hops

[Verse 2]
I'm paid, I gives a fuck about a win
I'm trying to get me a nasty bam in
A loss I don't bar
I leave the court and get freaked by three stars
That's the life of a G
My hoop shorts too long to ever see a knee
White or black T-shirt, that's a bet
And I'm always dry, 'cause real ballers never sweat
Damn, a thug got game
I could've hooped in the pros, but motherfuck a plane
And boys know where I be
Marian, ballin', is where to find me
Hooping on a Thursday night
Rising to the occasion, and taking time flight
And, oh yeah, I got that thang with me
Under the bleachers you'll do a 360
[Chorus]
My hops
They wanna see me gone 'cause of my hops
Shot in the dome 'cause of my hops
And ballin' no more 'cause of my hops
My hops
They wanna see me sprayed 'cause of my hops
And sleeping in a grave 'cause of my hops
And not getting paid 'cause of my hops
My hops
They wanna see me gone 'cause of my hops
Shot in the dome 'cause of my hops
And ballin' no more 'cause of my hops
My hops
They wanna see me sprayed 'cause of my hops
And sleeping in a grave 'cause of my hops
And not getting paid 'cause of my hops
My hops5Embed","[-0.02250194  0.03121793 -0.01288061 ... -0.0047888   0.0017488
 -0.01170769]",0.78446555,0.8059503,0.8200474,0.73096615,Q3
"Hey, Maybe One Day You’ll See Me Again","Hey, Maybe One Day You’ll See Me Again Lyrics[Chorus]
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me

[Verse 1]
I won't forget about us, I was a throwed kinda thug
But everyday, you go through my mug
It's something about you I can't shake
All the years you known me, all the cheese we made
I still call you everyday and send a text at night
One day we'll hook up again, and everything will be tight
See, these boys are jealous, 'cause the cash I stack
They want me gone from you forever, and sleepin' on my back
But that ain't gon' happen
We gon' both keep gettin' paid and I'ma keep rappin'
We have finally made it
And we can't be faded
Life is great, and I'll be thinkin' of you
And all the things we used to do
Like always holding hands when we rolled in my cars
And going camping, looking up at the stars

[Chorus]
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
You might also like[Verse 2]
At first, things ain't go as planned
But you kept it real with me, and one day, again, I'll be your man
And make all your dreams come true
Remember... I was always proud of you
I know sometimes I ain't carry myself the way I should act
But I was born a thug, and that's just that
But everyday, I'm a better man
And for our future, I got a nice plan
You and me forever, no more I'll be stuntin'
Our pockets fat, we cruisin' in that RV you wanted
Or takin' lavish trips across the world
I won't break your heart, you're my only girl
I'm gon' make your life so perfect
So you can tell your friends, sho' out and splurge it
So when you say your prayers at night
Remember me... I got your back for life

[Chorus]
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me
Hey, maybe one day you'll see me11Embed","[-0.03493272  0.01452769 -0.00470165 ...  0.02269541  0.01450165
  0.00089898]",0.9420693,0.6964118,0.9776217,0.91696006,Q3
I Sell Dope Boy,"I Sell Dope Boy Lyrics[Chorus]
What's up, I don't give a fuck
If boys run up, I'll be quick to bust
What's up, I don't give a fuck
If boys run up, I'll be quick to bust
What's up, I don't give a fuck
If boys run up, I'll be quick to bust
What's up, I don't give a fuck
If boys run up, I'll be quick to bust

[Verse 1]
It's the Southwest rollin' in
Ready to bust time and time again
I'ma let these boys know from the start
None of these cowards got no heart
I gotta throw it out there for all y'all
They soft, no contact, like baseball
They wouldn't do nothin', even if I enticed ya
'Cause these bullets'll slice ya
Up, like a knife
Ten seconds later, you done lost your life
All for lookin' for a quick come-up
But the steel got you done-up
I got my gun up, ready to bust
In lead I trust, I'll put these boys in the dust
It's time to take a little trip
But you ain't comin' back, 'cause bitch, you slipped
You might also like[Chorus]
What's up, I don't give a fuck
If boys run up, I'll be quick to bust
What's up, I don't give a fuck
If boys run up, I'll be quick to bust
What's up, I don't give a fuck
If boys run up, I'll be quick to bust
What's up, I don't give a fuck
If boys run up, I'll be quick to bust

[Verse 2]
Watch how I ride
Ho' ass niggas know it's homicide
When you're testin' a killer
Shoot you in the throat with the fo'-oh, nigga
Getting under they skin, I don't bar plex
After I smoke 'em, I wonder who's next
Aimin' at necks, like a guillotine
To these bitch-niggas, a hustla mean
I roll by, looking clean
With the coldest piece and chain that you ever seen
Right before your lights get dim
After you're hit by the nine-M-M
Your head explodes
Like a plastic bottle left in the road
Somethin' 'bout you looking dead look tight
Adrenaline got you too high
[Chorus]
What's up, I don't give a fuck
If boys run up, I'll be quick to bust
What's up, I don't give a fuck
If boys run up, I'll be quick to bust
What's up, I don't give a fuck
If boys run up, I'll be quick to bust
What's up, I don't give a fuck
If boys run up, I'll be quick to bust3Embed","[-0.01000656  0.02911408 -0.00468598 ... -0.00862478  0.01778061
 -0.01846385]",0.74603677,0.8443118,0.68941516,0.5376416,Q2
You Gone Die,"You Gone Die Lyrics[Chorus]
You gon' die
You fucked off my drive-by
It can't slide
If it was me, it wouldn't ride
You gon' die
You fucked off my drive-by
It can't slide
If it was me, it wouldn't ride

[Verse 1]
Motherfucker, thought your sawed-off could split me
But I was ready when you tried to come and get me
It was real, though, you gave it a try
But I saw your bitch-ass out the corner of my eye
I saw you comin' fast in the black 'Lac
And I knew what was up, 'cause I heard that
You wanted to smoke because your ego got tapped
When you heard I called you a mark in a rap
I got you now, mark, you tried to reach somethin'
But that shit you shot really wasn't nothin'
You rolled down your windows and you throwed your plex
But what you ain't know, I was ready for what was next
When you sped round the corner
You ain't know I already had everything set up on ya
My niggas all boxed you in and put that bag over your head
So you ain't know what's happening
You might also like[Chorus]
You gon' die
You fucked off my drive-by
It can't slide
If it was me, it wouldn't ride
You gon' die

[Verse 2]
Now I got yo bitch-ass in my warehouse
With that bag over your head, now what you talkin' bout?
Straight beatin' that ass
Makin' sure that you know I'm about to blast
You gon' die, in layman's terms
You was fuckin' with a killer and got yourself burned
But don't worry, it won't be much more pain
'Cause I'm 'bout to put this bullet inside yo brain
Now tell me, how does it feel
To know that you's about to get killed?
And to know that you made a fatal choice
To test the G that keeps the most
So go and say your last words
'Cause this gone be the last shit that you ever heard
Now peep, this was your life
Watch this shit flash in front of your eyes

[Chorus]
You gon' die
You fucked off my drive-by
It can't slide
If it was me, it wouldn't ride
You gon' die
You fucked off my drive-by
It can't slide
If it was me, it wouldn't ride
You gon' die1Embed","[-0.05293525  0.05149181 -0.01739903 ... -0.01462661  0.03372755
 -0.03335249]",0.8531561,0.9999745,0.93690085,0.73553735,Q2
I’m A Snake,"’m A Snake Lyrics[Hook]
I'm a snake
And when you hear 'em talkin' 'bout snakes
They talkin' 'bout me
I'm a snake
And when you hear 'em sneakin' on snakes
They sneakin' bout me
I'm a snake
And when you hear 'em talkin' 'bout snakes
They talkin' 'bout me
I'm a snake
And when you hear 'em sneakin' on snakes
They sneakin' on me

[Verse 1]
Makin' more money than I ever made, this year
Got the hoes up shinin' like a chandelier
When bad chicks see me, I get cheers
And when haters see me they disappear
This my swag that make sure they stay out it
And it my money that make sure they leave rowdy
I dont give a care how I rise
Past the top level cause my cash traumatise
Yeah, sail ships so I keep my mouth shut
Meanwhile you done snitchin' tight
They keep theyself in a rut
As I'm all cashed up, gleaned up
From head to toe
And now your whole team know
This power blanger roll
I'm wrapped in green, I'm a snake in the grass
And it keep haters mugs mean, here's a test
I'm somethin like Satan, but just a little worse
Hand down to heaven, God bless we got a curse
You might also like[Hook]
I'm a snake
And when you hear 'em talkin' 'bout snakes
They talkin' 'bout me
I'm a snake
And when you hear 'em sneakin' on snakes
They sneakin' bout me
I'm a snake
And when you hear 'em talkin' 'bout snakes
They talkin' 'bout me
I'm a snake
And when you hear 'em sneakin' on snakes
They sneakin' on me

[Verse 2]
Gon' keep it real, in your heart you's a coward
Claimin' that you know, when you ain't got no power
I don't trust you, I think ya jankin'
And when I call your demise, the world might thank me
I close, click, done, makin 6 G's up
I start thuggin', makin' teams freeze up
Finding deep in the club, mall swag stylin'
365 24/7 pro ballin'
I'm guaranteed to win, I got win on lock
While square rappers wearin' pieces shaped like a box
Meanwhile I'm laughing at that thing
As they say I'm the realest with the realest piece an' chain
Thinking to myself ""Will my realness ever end?""
But it won't cause when I die later, they'll wake me up again
Money keep comin' hour after hour
I'm street certified to keep you haters lookin' sour
[Hook]
I'm a snake
And when you hear 'em talkin' 'bout snakes
They talkin' 'bout me
I'm a snake
And when you hear 'em sneakin' on snakes
They sneakin' bout me
I'm a snake
And when you hear 'em talkin' 'bout snakes
They talkin' 'bout me
I'm a snake
And when you hear 'em sneakin' on snakes
They sneakin' on meEmbed","[-2.29358505e-02  4.53745089e-02  7.75084482e-05 ...  4.27064160e-03
  3.22625265e-02  1.00080855e-02]",0.7643002,0.7744791,0.70293635,0.5930656,Q2
That There’s A Stash Spot,"That There’s A Stash Spot Lyrics[Hook]
Money, checks in my mailbox
Boys can't get it, 'cause that there's a stash spot
And that's not all, I got other cash lots:
Banks, my crib, my pockets in fat knots
Money, checks in my mailbox
Boys can't get it, 'cause that there's a stash spot
And that's not all, I got other cash lots:
Banks, my crib, my pockets in fat knots

[Verse 1]
A G never slackin'
A hustler done got stuck on paper stackin'
Straight makin' cash, in other words
Came kickin' punks to the curb
Always pushin' somethin' nice
Always covered in ice
Draped up from head to toe
But when it gets dirty, it gots to go
Down, in my hood
I'm G'd, up hustlin', and it's all good
Shinin', in every way
Under my shirt, the three eight-
Ty the boys is trippin'
They think that they can catch me slippin'
Makin' sure life for haters ain't fair
It's a trip, got cash everywhere
You might also like[Hook]
Money, checks in my mailbox
Boys can't get it, 'cause that there's a stash spot
And that's not all, I got other cash lots:
Banks, my crib, my pockets in fat knots
Money, checks in my mailbox
Boys can't get it, 'cause that there's a stash spot
And that's not all, I got other cash lots:
Banks, my crib, my pockets in fat knots

[Verse 2]
I ain't never gon' stop stackin'
As if I'm going insane
I guess 'cause I got that loot on my brain
It's somethin' about it, got me wantin' more and more
And with it, I get anything at any store
Motherfuck a price tag, money is no object
Long as I'm left with enough to break necks
If a nigga act crazy, and enough to make his eyes lazy
Hazy is the way my eyes stay because of the dia-
Monds in my piece and chain
Karats in my ear won't help the boys maintain
The composure, but I do
As my wealth increases it multiplies by two
I'm lovin' this cheese
And the boys behind my ones be good to me
[Hook]
Money, checks in my mailbox
Boys can't get it, 'cause that there's a stash spot
And that's not all, I got other cash lots:
Banks, my crib, my pockets in fat knots
Money, checks in my mailbox
Boys can't get it, 'cause that there's a stash spot
And that's not all, I got other cash lots:
Banks, my crib, my pockets in fat knots1Embed","[-0.00127216  0.00927362 -0.01844002 ...  0.01651477  0.02460765
  0.00929011]",0.6505469,0.59229004,0.54630315,0.47870108,Q1
Tellin’ Lies On Yo Dick,"ellin’ Lies On Yo Dick Lyrics[Chorus]
Pussy nigga lyin' on yo thang
Claimin' that you hit my main
So I went and fucked your girl
And I'ma keep that pussy in my world
Pussy nigga lyin' on yo thang
Claimin' that you hit my main
So I went and fucked your girl
And I'ma keep that pussy in my world

[Verse 1]
Nothin' ass nigga, I heard what you said
Claimin' that you had my main in your bed
But I already knew it wasn't real
You ain't got no face like me or no skill
But when I heard it on that song it pissed me off
And I swore to myself you would pay the cost
You was on the airway straight up frontin'
But guess who in yo main thang straight up stuntin'?
Viper The Rapper, they call me a doll
When I got a lady in my bed I can't fall
They lovin' this thug 'cause I'm sexy and pretty
And to top it off my cash is so plenti-
-ful, I'm lovin' your girls
I fly 'em in and fill 'em up and fly 'em back like a swirl
While you're in the studio, thinkin' you're ballin'
Guess who your main and your side thing callin'?
ME!
You might also like[Chorus]
Pussy nigga lyin' on yo thang
Claimin' that you hit my main
So I went and fucked your girl
And I'ma keep that pussy in my world
Pussy nigga lyin' on yo thang
Claimin' that you hit my main
So I went and fucked your girl
And I'ma keep that pussy in my world

[Verse 2]
You shouldn't have lied on your dick
I took it personal, now peep the hits
I'm doing a ménage à trois
With your main and side thang in my car
They lovin' me, 'cause I'm a cute young thug
They lovin' me, because of my mug
Something 'bout the dimple in the middle of my chin
Lets me in the middle of your girl time and time again
Yeah, you got some cash and fame in the game
But they both fuck me 'cause I'm cooler than you mane
And to top it off
Your chicks give me that anal 'cause how I ball and floss
But they don't give you that ass
And yet they give it to me 'cause I'm something they can't pass on
So when you think your main is out and about
I got your main, your baby mama, and your side in my house
STUPID NIGGA
[Chorus]
Pussy nigga lyin' on yo thang
Claimin' that you hit my main
So I went and fucked your girl
And I'ma keep that pussy in my world
Pussy nigga lyin' on yo thang
Claimin' that you hit my main
So I went and fucked your girl
And I'ma keep that pussy in my worldEmbed","[ 0.00017315 -0.00293993 -0.01542053 ...  0.00926749  0.03132978
 -0.00931831]",0.75222236,0.73081666,0.6932753,0.4912367,Q1
All Dis Money,"All Dis Money Lyrics[Hook]
Crazy cash, sick cash
Tell me, what am I gonna do with all this money?
Stupid cash, retarded cash
Tell me, what am I gonna do with all this money?
Unnecessary cash, let it rain cash
Tell me, what am I gonna do with all this money?
So much cash, it's too much cash
Tell me, what am I gonna do with all this money?

[Verse 1]
Uh oh, I done went and got wealth
Now these boys wishin' that I was in bad health
Models choosin' up like I'm the last man on Earth
Meanwhile, I got these boys feelings hurt
Tall pretty nigga, it ain't fair I got it all
Killer hops, with cash to blow up a mall
Life ain't fair for y'all, so just watch me ball
Will you be a hater like the folks that wanna see me fall?
I hope they all stall, just watch my new ride crawl
Holla' at me at the whole court for a hoop call
Bring yo homies even if they can't stand me
Just don't take it personal when I get that Grammy

[Hook]
Crazy cash, sick cash
Tell me, what am I gonna do with all this money?
Stupid cash, retarded cash
Tell me, what am I gonna do with all this money?
Unnecessary cash, let it rain cash
Tell me, what am I gonna do with all this money?
So much cash, it's too much cash
Tell me, what am I gonna do with all this money?
You might also like[Verse 2]
I'm waiting for them to make a new Lambo body style
These niggas riding around the same old body style as '05
How did these nothing rappers get deals and even think they rippin'
No need to answer that, cause I'm rich so I ain't trippin'
Getting steel has got me lookin' towards beef
Test this, and you'll be cold beef in the streets
I'm a magician when it comes to that pistol play
Make you disappear and reappear dead a different day
Ok, keep me playin' in this money
You boys broke as a joke, that damn funny
I'm something more than a balla'
Ask around about me and and find out I'm Tha Top Malla
I'm somethin' like a baker, flippin' pizza bread
And tryin' to keep all of this dough from going to my head
That's a triple rhyme, did you hear what I said
Don't get high on your own supply, lesson one of street cred

[Hook]
Crazy cash, sick cash
Tell me, what am I gonna do with all this money?
Stupid cash, retarded cash
Tell me, what am I gonna do with all this money?
Unnecessary cash, let it rain cash
Tell me, what am I gonna do with all this money?
So much cash, it's too much cash
Tell me, what am I gonna do with all this money?Embed","[-0.04009901  0.0110826  -0.0214839  ... -0.00245957  0.04687097
  0.01076805]",0.74119097,0.71242094,0.6294981,0.5450003,Q1
I Gots To Ball,"I Gots To Ball Lyrics[Chorus]
I gots to ball
I can not fall
I gots to ball
I can't fall

[Verse 1]
I'm gone keep winning for real
I'm loving this like my drop Lac on twenty inch wheels
Just hopped off the new Lex on things
My Lamborghini doors open like chicken wings
But I never touch the steering wheel of my Bentley
Cause when I ride that, my chauffeurette come get me
In my house I got thirteen maids
Seven from the motherland and six from Spain
These ladies straight take care of they thug
Massages, bath sex, showers and back rubs
What can a baller say?
Sometimes I just chill and don't leave for days
Gettin' freaked while watchin' my ninety inch flatscreen
Ring a bell, fourteen more girls are checkin' to see
If they G need huggin'
Warm touching, or old fashion fuckin'

[Chorus]
I gots to ball
I can not fall
I gots to ball
I can't fall
You might also like[Verse 2]
My Maserati go hard
Indoor and outdoor court in my backyard
Every race of female I'm housin'
My pool big enough to fit one thousand
So why did I get that Navi?
So I can freak it out, like my Escalade Caddy
And add that bump
Put the box in the back and let it thump out the trunk
Appetizer puts me in an eatin' mood
My cook peepin' me out as she makes my food
But this time, I don't like the meal
She come to kiss me and say she love me still
How many cars does one G need?
I don't know and I don't care cause I got the green
Security cameras on my house, no burglar bars
Cause I keep more heat than a day on Mars

[Chorus]
I gots to ball
I can not fall
I gots to ball
I can't fall
I gots to ball
I can not fall
I gots to ball
I can't fallEmbed","[-0.03698934  0.02387439 -0.03920149 ... -0.00216561 -0.00410273
  0.00726049]",0.81124115,0.6502586,0.7074106,0.63101107,Q1
